Year,Trimester,District,Neighbourhood,Price (euro/month),Price (euro/m2)
2015,2,Sant Marti,el Poblenou,711.46,11.85
2015,2,Sant Marti,Diagonal Mar i el Front Maritim del Poblenou,981.86,11.14
2015,2,Sant Marti,el Besos i el Maresme,505.97,8.38
2015,2,Sant Marti,Provencals del Poblenou,670.38,10.02
2015,2,Sant Marti,Sant Marti de Provencals,697.32,9.56
2015,2,Sant Marti,la Verneda i la Pau,595.42,9.44
2015,3,Ciutat Vella,el Raval,654.0,11.0
2015,3,Ciutat Vella,Gothic Quarter,773.0,12.0
2015,3,Ciutat Vella,la Barceloneta,630.0,17.0
2015,3,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",729.0,14.0
2015,3,Eixample,Fort Pienc,753.0,11.0
2015,3,Eixample,Sagrada Familia,739.0,12.0
2015,3,Eixample,la Dreta de l'Eixample,1052.0,12.0
2015,3,Eixample,l'Antiga Esquerra de l'Eixample,926.0,12.0
2015,3,Eixample,la Nova Esquerra de l'Eixample,807.0,11.0
2015,3,Eixample,Sant Antoni,798.0,11.0
2015,3,Sants-Montjuic,el Poble Sec,631.0,11.0
2015,3,Sants-Montjuic,la Marina de Port,565.0,9.0
2015,3,Sants-Montjuic,la Font de la Guatlla,735.0,12.0
2015,3,Sants-Montjuic,Hostafrancs,632.0,11.0
2015,3,Sants-Montjuic,la Bordeta,661.0,11.0
2015,3,Sants-Montjuic,Sants - Badal,652.0,11.0
2015,3,Sants-Montjuic,Sants,701.0,11.0
2015,3,Les Corts,les Corts,860.0,12.0
2015,3,Les Corts,la Maternitat i Sant Ramon,814.0,12.0
2015,3,Les Corts,Pedralbes,2034.0,17.0
2015,3,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",1119.0,13.0
2015,3,Sarria-Sant Gervasi,Sarria,1156.0,15.0
2015,3,Sarria-Sant Gervasi,les Tres Torres,1462.0,15.0
2015,3,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,1073.0,13.0
2015,3,Sarria-Sant Gervasi,Sant Gervasi - Galvany,1262.0,13.0
2015,3,Sarria-Sant Gervasi,el Putxet i el Farro,840.0,13.0
2015,3,Gracia,Vallcarca i els Penitents,713.0,12.0
